rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_the week,,,
docked_bike,19-04-2020 13:48,19-04-2020 14:27,Eckhart Park,86,Austin Blvd & Lake St,532,41.8964,-87.661,41.8879,-87.7744,member,00:39:13,1,,,
docked_bike,05-04-2020 12:47,05-04-2020 13:34,Austin Blvd & Chicago Ave,524,Central Ave & Lake St,531,41.8949,-87.7747,41.8877,-87.7655,member,00:47:02,1,,,
docked_bike,03-04-2020 16:23,03-04-2020 16:40,Austin Blvd & Lake St,532,Central Ave & Lake St,531,41.8879,-87.7744,41.8877,-87.7655,member,00:17:15,6,,,
docked_bike,06-04-2020 13:39,06-04-2020 13:45,Central Ave & Chicago Ave,550,Central Ave & Lake St,531,41.895,-87.7649,41.8877,-87.7655,member,00:06:19,2,,,
docked_bike,16-04-2020 17:46,16-04-2020 17:58,Central Ave & Harrison St,541,Central Ave & Lake St,531,41.873,-87.7645,41.8877,-87.7655,member,00:11:19,5,,,
docked_bike,06-04-2020 15:45,06-04-2020 16:18,Central Ave & Lake St,531,Central Ave & Chicago Ave,550,41.8877,-87.7655,41.895,-87.7649,member,00:33:27,2,,,
docked_bike,12-04-2020 12:02,12-04-2020 12:22,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:19:27,1,,,
docked_bike,12-04-2020 19:19,12-04-2020 19:32,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:12:54,1,,,
docked_bike,13-04-2020 18:28,13-04-2020 18:41,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:12:58,2,,,
docked_bike,28-04-2020 17:07,28-04-2020 17:23,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:16:41,3,,,
docked_bike,26-04-2020 14:33,26-04-2020 14:50,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:16:28,1,,,
docked_bike,15-04-2020 12:10,15-04-2020 12:22,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:12:26,4,,,
docked_bike,02-04-2020 17:55,02-04-2020 18:11,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:15:56,5,,,
docked_bike,19-04-2020 20:00,19-04-2020 20:09,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:09:02,1,,,
docked_bike,07-04-2020 15:40,07-04-2020 15:54,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:14:44,3,,,
docked_bike,11-04-2020 18:14,11-04-2020 18:32,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:18:22,7,,,
docked_bike,11-04-2020 10:17,11-04-2020 10:31,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:14:11,7,,,
docked_bike,18-04-2020 14:40,18-04-2020 14:54,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:14:02,7,,,
docked_bike,07-04-2020 11:46,07-04-2020 12:02,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:15:41,3,,,
docked_bike,22-04-2020 19:27,22-04-2020 19:43,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:15:39,4,,,
docked_bike,24-04-2020 17:00,24-04-2020 17:15,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:14:40,6,,,
docked_bike,01-04-2020 15:12,01-04-2020 15:23,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:10:57,4,,,
docked_bike,01-04-2020 11:52,01-04-2020 12:06,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:13:37,4,,,
docked_bike,05-04-2020 12:09,05-04-2020 12:18,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:08:52,1,,,
docked_bike,05-04-2020 15:55,05-04-2020 16:04,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:08:29,1,,,
docked_bike,06-04-2020 12:05,06-04-2020 12:14,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:08:42,2,,,
docked_bike,09-04-2020 16:24,09-04-2020 16:42,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:18:10,5,,,
docked_bike,03-04-2020 12:00,03-04-2020 12:13,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:12:13,6,,,
docked_bike,03-04-2020 16:55,03-04-2020 17:33,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:38:33,6,,,
docked_bike,04-04-2020 11:55,04-04-2020 12:03,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:08:27,7,,,
docked_bike,04-04-2020 16:28,04-04-2020 16:39,Central Ave & Chicago Ave,550,Central Ave & Chicago Ave,550,41.895,-87.7649,41.895,-87.7649,member,00:11:35,7,,,
docked_bike,06-04-2020 15:09,06-04-2020 16:04,Troy St & North Ave,509,Central Ave & Chicago Ave,550,41.9098,-87.7053,41.895,-87.7649,casual,00:55:27,2,,,
docked_bike,05-04-2020 14:25,05-04-2020 14:57,Central Ave & Harrison St,541,Central Ave & Harrison St,541,41.873,-87.7645,41.873,-87.7645,casual,00:32:12,1,,,
docked_bike,05-04-2020 14:24,05-04-2020 14:57,Central Ave & Harrison St,541,Central Ave & Harrison St,541,41.873,-87.7645,41.873,-87.7645,casual,00:32:58,1,,,
docked_bike,01-04-2020 16:11,03-04-2020 16:48,Central Ave & Harrison St,541,Central Ave & Harrison St,541,41.873,-87.7645,41.873,-87.7645,casual,00:37:29,4,,,
docked_bike,24-04-2020 14:35,24-04-2020 16:45,Prairie Ave & 43rd St,410,Central Ave & Harrison St,541,41.8167,-87.6194,41.873,-87.7645,casual,02:10:09,6,,,
docked_bike,26-04-2020 12:13,26-04-2020 12:23,Austin Blvd & Madison St,544,Central Ave & Madison St,542,41.8803,-87.7745,41.8801,-87.7632,casual,00:09:38,1,,,
docked_bike,26-04-2020 12:13,26-04-2020 12:22,Austin Blvd & Madison St,544,Central Ave & Madison St,542,41.8803,-87.7745,41.8801,-87.7632,casual,00:09:12,1,,,
docked_bike,26-04-2020 13:36,26-04-2020 14:02,Austin Blvd & Lake St,532,Central Ave & Madison St,542,41.8879,-87.7744,41.8801,-87.7632,member,00:25:35,1,,,
docked_bike,26-04-2020 12:54,26-04-2020 13:06,Latrobe Ave & Chicago Ave,642,Central Ave & Madison St,542,41.8947,-87.7569,41.8801,-87.7632,member,00:12:22,1,,,
docked_bike,01-04-2020 15:43,01-04-2020 15:46,Laramie Ave & Madison St,540,Central Ave & Madison St,542,41.8802,-87.7553,41.8801,-87.7632,member,00:02:57,4,,,
docked_bike,03-04-2020 22:56,25-04-2020 08:38,Central Ave & Chicago Ave,550,Latrobe Ave & Chicago Ave,642,41.895,-87.7649,41.8947,-87.7569,casual,09:41:47,6,,,
docked_bike,25-04-2020 09:25,25-04-2020 09:38,Laramie Ave & Gladys Ave,543,Latrobe Ave & Chicago Ave,642,41.8758,-87.7553,41.8947,-87.7569,casual,00:12:58,7,,,
docked_bike,30-04-2020 02:09,30-04-2020 02:43,Cicero Ave & Flournoy St,538,Latrobe Ave & Chicago Ave,642,41.8721,-87.7466,41.8947,-87.7569,member,00:33:59,5,,,
docked_bike,26-04-2020 12:11,26-04-2020 12:52,Keystone Ave & Fullerton Ave,619,Latrobe Ave & Chicago Ave,642,41.9246,-87.7279,41.8947,-87.7569,member,00:41:10,1,,,
docked_bike,16-04-2020 12:10,16-04-2020 12:39,Ashland Ave & Division St,210,Latrobe Ave & Chicago Ave,642,41.9035,-87.6677,41.8947,-87.7569,member,00:28:52,5,,,
docked_bike,03-04-2020 13:20,03-04-2020 13:28,Austin Blvd & Lake St,532,Laramie Ave & Kinzie St,530,41.8879,-87.7744,41.8878,-87.7555,member,00:08:19,6,,,
docked_bike,05-04-2020 13:39,05-04-2020 13:43,Central Ave & Lake St,531,Laramie Ave & Kinzie St,530,41.8877,-87.7655,41.8878,-87.7555,member,00:04:23,1,,,
docked_bike,20-04-2020 09:27,20-04-2020 09:40,Karlov Ave & Madison St,534,Laramie Ave & Kinzie St,530,41.8809,-87.7279,41.8878,-87.7555,casual,00:13:32,2,,,
docked_bike,22-04-2020 11:13,22-04-2020 11:42,Campbell Ave & North Ave,160,Laramie Ave & Kinzie St,530,41.9105,-87.6896,41.8878,-87.7555,member,00:29:31,4,,,
docked_bike,03-04-2020 19:48,03-04-2020 20:01,Austin Blvd & Lake St,532,Laramie Ave & Madison St,540,41.8879,-87.7744,41.8802,-87.7553,casual,00:13:01,6,,,
